id;libelle;categorie;prix_vente;prix_achat;t_va
1;conglomeration Table driver;Assimilated compress Cambridgeshire;87545;86858;93245
2;logistical Movies;online auxiliary;60931;91188;45380
3;GB Bourgogne Plastic;Market Soap Sausages;17906;43523;2925
4;navigate back Cheese;deposit Lepic emulation;51676;60225;27324
5;Buckinghamshire hack Indian;Beauty;18100;27443;15922
6;Handmade;du;91660;16196;94807
7;Corse;HDD du;49939;21539;32056
8;Sports Buckinghamshire;mission-critical Soft Table;98601;15695;3106
9;architecture;Steel Bedfordshire;27024;11196;23246
10;Pants quantify;Surinam;59545;50030;20166
