id;date_entree;fournisseur;libelle;quantite;montant_achat_ttc;date_paiement
1;2021-04-10;Rial cyan;Maroc Producteur fuchsia;52455;75219;2021-04-10
2;2021-04-10;Burundi Directeur turquoise;Bourgogne;43284;90342;2021-04-10
3;2021-04-10;synthesizing connect Aquitaine;withdrawal PCI Berkshire;50446;34491;2021-04-10
4;2021-04-10;withdrawal Lorraine;solutions;82136;29891;2021-04-10
5;2021-04-10;a c a;Gloves Aquitaine Home;63682;93647;2021-04-10
6;2021-04-10;Monténégro l'Odéon;Electronics Poitou-Charentes Baby;96104;20443;2021-04-10
7;2021-04-10;b 1080p;bypass application;66029;89259;2021-04-10
8;2021-04-09;reboot Re-engineered auxiliary;a orange transmitting;39874;43197;2021-04-10
9;2021-04-10;Granite;États-Unis Fiji Directeur;59832;17880;2021-04-10
10;2021-04-10;open-source Chair;reciprocal;70650;60752;2021-04-10
