id;date_vente;nom_revendeur;mode_paiement;montant_vente
1;2021-04-10;a copying withdrawal;Salvador Mouffetard generating;89634
2;2021-04-10;a Adolphe;Lorraine Outdoors matrix;68830
3;2021-04-10;generate;b invoice;38679
4;2021-04-10;Shirt maximized;generation;41970
5;2021-04-10;Grocery Frozen;IB a Frozen;53984
6;2021-04-10;content-based Renminbi Uzbekistan;Intuitive a;54455
7;2021-04-10;c;Monetary Incredible Centre;80835
8;2021-04-09;Synergistic Ergonomic Organic;ROI plum;34914
9;2021-04-10;Dollar;Cheese hierarchy bypassing;24302
10;2021-04-10;Concrete;indexing solid EXE;46368
